u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,junction,access,width,ref
246123487,246124795,0,49189905,False,2,Via Voghera,residential,50,True,52.596,"LINESTRING (12.5201688 41.8860151, 12.5195351 41.8860492)",,,,,,
246123651,330364374,0,"[22885283, 49189903]",True,"['2', '1']","['Via Orvieto', 'Via Voghera']",residential,,False,119.46700000000001,"LINESTRING (12.5174464 41.8861618, 12.5172333 41.8861783, 12.5171733 41.8853377, 12.5171681 41.8852647)",,,,,,
246123651,246123746,0,49189905,False,2,Via Voghera,residential,50,False,116.3,"LINESTRING (12.5174464 41.8861618, 12.5174903 41.8861594, 12.5187798 41.8860877, 12.5188474 41.8860839)",,,,,,
246123746,828145433,0,49189905,False,2,Via Voghera,residential,50,False,6.777,"LINESTRING (12.5188474 41.8860839, 12.5189291 41.88608)",,,,,,
246123746,246123976,0,22885273,True,1,Via Foligno,residential,50,False,100.42699999999999,"LINESTRING (12.5188474 41.8860839, 12.5188365 41.8860116, 12.5187243 41.8852617, 12.518713 41.8851863)",,,,,,
246123746,246123651,0,49189905,False,2,Via Voghera,residential,50,True,116.3,"LINESTRING (12.5188474 41.8860839, 12.5187798 41.8860877, 12.5174903 41.8861594, 12.5174464 41.8861618)",,,,,,
246123975,330364374,0,185331821,False,2,Via Terni,residential,50,True,16.179,"LINESTRING (12.517363 41.8852539, 12.5171681 41.8852647)",,,,,,
246123975,246123651,0,22884871,True,1,Via Orvieto,residential,,False,101.19,"LINESTRING (12.517363 41.8852539, 12.5173698 41.8853285, 12.5174464 41.8861618)",,,,,,
246123975,246123976,0,185331821,False,2,Via Terni,residential,50,False,112.01,"LINESTRING (12.517363 41.8852539, 12.5174244 41.8852504, 12.5186436 41.8851899, 12.518713 41.8851863)",,,,,,
246123976,828145421,0,185331821,False,2,Via Terni,residential,50,False,6.819,"LINESTRING (12.518713 41.8851863, 12.5187952 41.8851823)",,,,,,
246123976,246123975,0,185331821,False,2,Via Terni,residential,50,True,112.01,"LINESTRING (12.518713 41.8851863, 12.5186436 41.8851899, 12.5174244 41.8852504, 12.517363 41.8852539)",,,,,,
246123977,246123487,0,22885280,True,1,Via Volterra,residential,,False,100.802,"LINESTRING (12.5200937 41.8851103, 12.5201005 41.8851926, 12.5201613 41.8859252, 12.5201688 41.8860151)",,,,,,
246123977,246124838,0,185331821,False,2,Via Terni,residential,50,True,52.867000000000004,"LINESTRING (12.5200937 41.8851103, 12.5200288 41.8851133, 12.5195337 41.885137, 12.5194564 41.8851408)",,,,,,
246124795,246123487,0,49189905,False,2,Via Voghera,residential,50,False,52.596,"LINESTRING (12.5195351 41.8860492, 12.5201688 41.8860151)",,,,,,
246124795,246124838,0,22885300,True,1,Via Pistoia,residential,,False,101.21900000000001,"LINESTRING (12.5195351 41.8860492, 12.5195279 41.8859659, 12.5194634 41.8852218, 12.5194564 41.8851408)",,,,,,
246124795,828145433,0,49189905,False,2,Via Voghera,residential,50,True,50.283,"LINESTRING (12.5195351 41.8860492, 12.5190052 41.8860762, 12.5189291 41.88608)",,,,,,
246124838,246123977,0,185331821,False,2,Via Terni,residential,50,False,52.867,"LINESTRING (12.5194564 41.8851408, 12.5195337 41.885137, 12.5200288 41.8851133, 12.5200937 41.8851103)",,,,,,
246124838,828145421,0,185331821,False,2,Via Terni,residential,50,True,54.93,"LINESTRING (12.5194564 41.8851408, 12.5193517 41.8851475, 12.5188674 41.885178, 12.5187952 41.8851823)",,,,,,
246130344,246130345,0,22885424,False,4,Via dell'Amba Aradam,primary,50,False,123.422,"LINESTRING (12.5029028 41.8856197, 12.5029779 41.885671, 12.5030646 41.8857303, 12.5032995 41.8859021, 12.5038221 41.8862644, 12.5039008 41.8863207, 12.5039443 41.8863566, 12.5039763 41.8863888)",,,,,,
246130345,246130344,0,22885424,False,4,Via dell'Amba Aradam,primary,50,True,123.422,"LINESTRING (12.5039763 41.8863888, 12.5039443 41.8863566, 12.5039008 41.8863207, 12.5038221 41.8862644, 12.5032995 41.8859021, 12.5030646 41.8857303, 12.5029779 41.885671, 12.5029028 41.8856197)",,,,,,
246130345,246130408,0,22885429,True,4,Piazza di San Giovanni in Laterano,primary,50,False,66.784,"LINESTRING (12.5039763 41.8863888, 12.5041401 41.8865096, 12.504172 41.8865344, 12.504289 41.8866253, 12.5044799 41.8868052, 12.5045127 41.8868362)",,,,,,
246130408,93810152,0,22885513,True,2,Piazza di San Giovanni in Laterano,secondary,50,False,28.837,"LINESTRING (12.5045127 41.8868362, 12.5045621 41.8869201, 12.5046032 41.887006, 12.5046256 41.8870807)",,,,,,
246130408,246130410,0,106129554,True,4,Piazza di San Giovanni in Laterano,primary,50,False,42.949999999999996,"LINESTRING (12.5045127 41.8868362, 12.5045654 41.8868798, 12.5046088 41.8869123, 12.5046406 41.8869329, 12.5046667 41.8869477, 12.5046966 41.8869621, 12.5047275 41.8869747, 12.5047617 41.8869853, 12.5047939 41.8869947, 12.5048372 41.8870039, 12.5048898 41.8870107, 12.5049514 41.8870192)",,,,,,
