node,lng,lat
76,12.4145024,41.8928224
77,12.3806109,41.8839617
78,12.3792649,41.8774539
79,12.4220793,41.8069625
80,12.4485096,41.8014356
81,12.4660939,41.7992705
82,12.5697589,41.811156
83,12.5983884,41.8561462
84,12.6001023,41.8620476
85,12.6011423,41.8653294
86,12.5864253,41.8687602
87,12.5521472,41.8771131
88,12.5453277,41.8788979
89,12.526805,41.8868306
90,12.5154525,41.8922374
91,12.5149292,41.892249
92,12.5160853,41.8918543
93,12.514397,41.892127
94,12.5132546,41.8928151
95,12.5121385,41.8934803
96,12.5108331,41.8942817
97,12.50939,41.8951356
98,12.5108116,41.8966779
99,12.5103133,41.8971524
100,12.4072032,41.970232
101,12.4017255,41.967462
102,12.4047586,41.9693563
103,12.3823253,41.9213756
104,12.4443413,41.9822291
105,12.3810956,41.8910199
106,12.3839445,41.9555266
107,12.3841381,41.9558453
108,12.4262515,41.8904844
109,12.4397928,41.8958953
110,12.4525272,41.8997945
111,12.4551817,41.9002263
112,12.4571668,41.900139
113,12.4259768,41.9014704
114,12.4725344,41.8962536
115,12.471817,41.8960034
116,12.4878998,41.8835838
117,12.4822503,41.8871939
118,12.4835467,41.8862051
119,12.4266952,41.8908144
120,12.4410178,41.8898919
121,12.4428332,41.8916979
122,12.4444369,41.8915572
123,12.4433114,41.8922686
124,12.4416883,41.893462
125,12.4421518,41.893788
126,12.4430077,41.8931373
127,12.4451863,41.8957774
128,12.4511977,41.8997661
129,12.4507201,41.9004799
130,12.4514196,41.8988966
131,12.481922,41.8966132
132,12.4826655,41.8962217
133,12.4835075,41.8954624
134,12.4824151,41.8955257
135,12.4820658,41.8949093
136,12.4819427,41.8941367
137,12.4815223,41.8940422
138,12.4813623,41.8941577
139,12.4810368,41.8948337
140,12.4813484,41.8951957
141,12.4817439,41.8952991
142,12.47658,41.9011702
143,12.4744767,41.8903415
144,12.477426,41.8948629
145,12.480126,41.8949571
146,12.4807742,41.8944846
147,12.4985377,41.9019611
148,12.4965781,41.9027182
149,12.4960043,41.9035759
150,12.4956409,41.9038935
151,12.4969811,41.8994139
152,12.4930657,41.8927801
153,12.5158203,41.8912444
154,12.4967969,41.9046262
155,12.4942519,41.904442
156,12.4930555,41.9051133
157,12.4909766,41.9058649
158,12.4903508,41.9054754
159,12.4902461,41.9053978
160,12.4897186,41.9049804
161,12.4888624,41.9042769
162,12.4887383,41.9041693
163,12.488617,41.9057811
164,12.4901881,41.906392
165,12.4892955,41.9081361
166,12.4885391,41.9091524
167,12.4885435,41.9092624
168,12.4885886,41.9093843
169,12.4899476,41.9096557
170,12.4476328,41.905348
171,12.4441278,41.9033895
172,12.4277252,41.8985816
173,12.4677471,41.8919983
174,12.4682913,41.8910001
175,12.4689986,41.8901893
176,12.4691963,41.8897431
177,12.4742053,41.8894636
178,12.4747444,41.8902792
179,12.4746604,41.8894163
180,12.4759117,41.8893139
181,12.4770401,41.8893022
182,12.4771113,41.889585
183,12.4752487,41.8939299
184,12.4703803,41.8879394
185,12.4811693,41.8880042
186,12.4785456,41.8913436
187,12.4755279,41.8918221
188,12.479418,41.8906622
189,12.4801859,41.8895083
190,12.4766553,41.8897332
191,12.4748794,41.8882907
192,12.4755381,41.8888976
193,12.4805457,41.8908966
194,12.4842436,41.8904027
195,12.4849283,41.8913095
196,12.4832606,41.8881857
197,12.4828423,41.8996171
198,12.4825947,41.9026259
199,12.4775826,41.889422
200,12.4881602,41.9034322
201,12.4994301,41.8977043
202,12.4770032,41.9051335
203,12.4771668,41.9064863
204,12.4780884,41.9065412
205,12.386577,41.9007843
206,12.3885397,41.8988933
207,12.4546681,41.8039427
208,12.4557316,41.8060045
209,12.4724659,41.8364533
210,12.4945089,41.8673428
211,12.4904604,41.868625
212,12.4883277,41.8697189
213,12.4538674,41.8014722
214,12.4544454,41.8008339
215,12.4022877,41.8105739
216,12.3803881,41.8795541
217,12.3853204,41.910545
218,12.387454,41.9137028
219,12.3884087,41.9139703
220,12.3885551,41.9139417
221,12.3920938,41.9183048
222,12.3940375,41.9186517
223,12.3964158,41.9200674
224,12.3967174,41.9202958
225,12.3978104,41.9208316
226,12.4016216,41.9237496
227,12.4065198,41.9246278
228,12.4119034,41.9229674
229,12.4122753,41.9233488
230,12.4209639,41.9272549
231,12.4228498,41.9262953
232,12.4211439,41.9324861
233,12.4209234,41.93333
234,12.4202992,41.9343515
235,12.4231458,41.9366445
236,12.4202896,41.9391842
237,12.4236443,41.9401842
238,12.4223564,41.9391692
239,12.4233178,41.9376648
240,12.4238325,41.9394535
241,12.4263289,41.9313614
242,12.4264523,41.926914
243,12.4261346,41.9259484
244,12.4227557,41.9196194
245,12.4225085,41.9160273
246,12.4234102,41.9124192
247,12.4248119,41.9094176
248,12.4253564,41.9074825
249,12.4253249,41.9056124
250,12.4248827,41.9048762
251,12.4293784,41.8948807
252,12.4295502,41.8947893
253,12.4391898,41.8902971
254,12.4403069,41.8894621
255,12.4405839,41.888847
256,12.4404613,41.8878938
257,12.4410774,41.8790549
258,12.4426784,41.8770275
259,12.4673625,41.8725906
260,12.4675291,41.8709277
261,12.473631,41.8722471
262,12.4846826,41.8716326
263,12.4843643,41.8690957
264,12.4883064,41.8687296
265,12.4939955,41.8899577
266,12.49344,41.8892664
267,12.5472278,41.8956034
268,12.5477772,41.8934883
269,12.4818345,41.8937621
270,12.4804499,41.8886438
271,12.4807189,41.8950514
272,12.4774828,41.8917755
273,12.4774743,41.8928914
274,12.4774514,41.8923658
275,12.4765508,41.8926914
