osmid,y,x,street_count,highway,geometry
253874144,41.9019686,12.4907386,4,,POINT (12.4907386 41.9019686)
253875094,41.9096056,12.4798406,3,,POINT (12.4798406 41.9096056)
254094129,41.8885446,12.4736418,4,,POINT (12.4736418 41.8885446)
254094151,41.8903819,12.4742996,4,,POINT (12.4742996 41.8903819)
254094156,41.8900215,12.4741212,3,,POINT (12.4741212 41.8900215)
254331093,41.8974971,12.5120716,3,,POINT (12.5120716 41.8974971)
254528045,41.8977576,12.490284,3,,POINT (12.490284 41.8977576)
254528046,41.8982429,12.4910264,4,,POINT (12.4910264 41.8982429)
254528047,41.8991009,12.4923408,4,,POINT (12.4923408 41.8991009)
254528048,41.8996911,12.4931818,4,,POINT (12.4931818 41.8996911)
254528049,41.9001763,12.4939276,3,,POINT (12.4939276 41.9001763)
254528051,41.8988492,12.4926382,1,,POINT (12.4926382 41.8988492)
254528639,41.8963848,12.4906842,4,,POINT (12.4906842 41.8963848)
255120630,41.8998201,12.518791,1,,POINT (12.518791 41.8998201)
255120631,41.8993093,12.5177926,4,,POINT (12.5177926 41.8993093)
255120632,41.8963211,12.5131651,3,,POINT (12.5131651 41.8963211)
255121652,41.8922827,12.5127271,3,,POINT (12.5127271 41.8922827)
255121653,41.8928918,12.510871,3,,POINT (12.510871 41.8928918)
255121654,41.8936842,12.5116394,3,,POINT (12.5116394 41.8936842)
255121655,41.8932886,12.5112412,3,,POINT (12.5112412 41.8932886)
255121657,41.8929791,12.5129808,3,,POINT (12.5129808 41.8929791)
255123266,41.8904351,12.5117946,4,traffic_signals,POINT (12.5117946 41.8904351)
255123273,41.8903761,12.5141669,3,,POINT (12.5141669 41.8903761)
255123274,41.8900336,12.5124886,3,,POINT (12.5124886 41.8900336)
255250019,41.8937336,12.4971615,3,,POINT (12.4971615 41.8937336)
255250098,41.8938374,12.4924076,3,,POINT (12.4924076 41.8938374)
255250101,41.8935605,12.4947023,3,,POINT (12.4947023 41.8935605)
255250110,41.8939221,12.4980004,3,,POINT (12.4980004 41.8939221)
255250283,41.8933124,12.4945264,1,,POINT (12.4945264 41.8933124)
255250287,41.8937612,12.4921037,1,,POINT (12.4921037 41.8937612)
255250786,41.8935107,12.4925658,2,,POINT (12.4925658 41.8935107)
255250999,41.8920843,12.4919809,3,crossing,POINT (12.4919809 41.8920843)
255253718,41.8924643,12.5044557,4,,POINT (12.5044557 41.8924643)
255253720,41.8900882,12.5057986,3,,POINT (12.5057986 41.8900882)
255253723,41.8919354,12.5047769,4,,POINT (12.5047769 41.8919354)
255253725,41.8915342,12.5034992,4,,POINT (12.5034992 41.8915342)
255253727,41.8920688,12.5032139,3,,POINT (12.5032139 41.8920688)
255253729,41.8909407,12.5053507,4,,POINT (12.5053507 41.8909407)
255256713,41.8911882,12.5023844,3,,POINT (12.5023844 41.8911882)
255256716,41.8932307,12.5052439,3,,POINT (12.5052439 41.8932307)
255259845,41.8926537,12.5015563,4,,POINT (12.5015563 41.8926537)
255259848,41.8943395,12.5032324,3,,POINT (12.5032324 41.8943395)
255259851,41.8935857,12.5024871,4,,POINT (12.5024871 41.8935857)
255259854,41.8937368,12.5043311,3,,POINT (12.5043311 41.8937368)
255259856,41.8915639,12.5021739,4,traffic_signals,POINT (12.5021739 41.8915639)
255259860,41.8929663,12.50359,4,,POINT (12.50359 41.8929663)
255260615,41.8930166,12.5019263,3,,POINT (12.5019263 41.8930166)
255260616,41.8923939,12.5030121,4,,POINT (12.5030121 41.8923939)
255260617,41.8896975,12.5045363,3,,POINT (12.5045363 41.8896975)
255260618,41.8905362,12.5040667,4,,POINT (12.5040667 41.8905362)
255275054,41.8957839,12.5176515,3,,POINT (12.5176515 41.8957839)
255275057,41.8962682,12.5155575,3,,POINT (12.5155575 41.8962682)
255275060,41.895442,12.5140087,4,,POINT (12.5140087 41.895442)
255276194,41.8948165,12.516756,4,,POINT (12.516756 41.8948165)
255276195,41.894717,12.5172591,3,,POINT (12.5172591 41.894717)
255276200,41.8969176,12.5183347,4,,POINT (12.5183347 41.8969176)
255276202,41.8975145,12.5194613,3,,POINT (12.5194613 41.8975145)
255276937,41.8974625,12.5178183,3,,POINT (12.5178183 41.8974625)
255276939,41.8980519,12.5189604,4,,POINT (12.5189604 41.8980519)
255277488,41.8964333,12.5150813,1,,POINT (12.5150813 41.8964333)
255277950,41.8957335,12.5137349,3,,POINT (12.5137349 41.8957335)
255277951,41.8960671,12.5143888,4,,POINT (12.5143888 41.8960671)
255278207,41.8948821,12.514061,3,,POINT (12.514061 41.8948821)
255278209,41.8945292,12.5167955,3,,POINT (12.5167955 41.8945292)
255278213,41.8956996,12.5177328,3,,POINT (12.5177328 41.8956996)
255329936,41.8903376,12.5009699,3,,POINT (12.5009699 41.8903376)
255329938,41.8907828,12.4977285,1,,POINT (12.4977285 41.8907828)
255329941,41.8906788,12.4946358,1,,POINT (12.4946358 41.8906788)
255385579,41.9189117,12.5066459,3,,POINT (12.5066459 41.9189117)
255385700,41.9169811,12.5058464,4,,POINT (12.5058464 41.9169811)
255385701,41.9172702,12.5057933,4,,POINT (12.5057933 41.9172702)
255385753,41.9171804,12.505612,4,,POINT (12.505612 41.9171804)
255385754,41.9169393,12.5056781,4,,POINT (12.5056781 41.9169393)
255385755,41.9165919,12.5058472,3,,POINT (12.5058472 41.9165919)
255398642,41.9195328,12.4985167,5,traffic_signals,POINT (12.4985167 41.9195328)
255398643,41.9194564,12.4984104,4,,POINT (12.4984104 41.9194564)
255398786,41.9181886,12.4969778,4,traffic_signals,POINT (12.4969778 41.9181886)
255398787,41.9171932,12.496171,5,traffic_signals,POINT (12.496171 41.9171932)
255398854,41.9160596,12.4996602,3,,POINT (12.4996602 41.9160596)
255398855,41.9189768,12.4958989,4,,POINT (12.4958989 41.9189768)
255398874,41.9180109,12.4972135,4,,POINT (12.4972135 41.9180109)
255398875,41.9187051,12.4975656,3,,POINT (12.4975656 41.9187051)
255398888,41.9151417,12.497186,3,,POINT (12.497186 41.9151417)
255399469,41.9149342,12.4972269,3,,POINT (12.4972269 41.9149342)
255399519,41.9168685,12.5016661,4,,POINT (12.5016661 41.9168685)
255399520,41.9169375,12.5017562,4,,POINT (12.5017562 41.9169375)
255400034,41.9164707,12.5009437,3,,POINT (12.5009437 41.9164707)
255400035,41.9189796,12.4978634,4,,POINT (12.4978634 41.9189796)
255400095,41.918282,12.4987287,4,,POINT (12.4987287 41.918282)
255400096,41.918711,12.4993567,4,,POINT (12.4993567 41.918711)
255400411,41.9187753,12.4994562,4,,POINT (12.4994562 41.9187753)
255400413,41.916979,12.4967827,4,,POINT (12.4967827 41.916979)
255400414,41.917612,12.4977262,4,,POINT (12.4977262 41.917612)
255400959,41.9202836,12.5089417,4,,POINT (12.5089417 41.9202836)
255445194,41.8990152,12.4880848,3,,POINT (12.4880848 41.8990152)
255445195,41.9006348,12.4905698,3,,POINT (12.4905698 41.9006348)
255446520,41.8995664,12.4873392,3,,POINT (12.4873392 41.8995664)
255446521,41.8981217,12.4892876,3,,POINT (12.4892876 41.8981217)
255448433,41.8999563,12.4913657,3,traffic_signals,POINT (12.4913657 41.8999563)
255448434,41.9010647,12.4923459,3,,POINT (12.4923459 41.9010647)
255453578,41.9000337,12.4838663,3,,POINT (12.4838663 41.9000337)
255455536,41.9001561,12.4955701,3,,POINT (12.4955701 41.9001561)
255457312,41.899467,12.4961099,3,,POINT (12.4961099 41.899467)
255457313,41.9000194,12.4953662,4,,POINT (12.4953662 41.9000194)
255457314,41.8999439,12.4966295,3,,POINT (12.4966295 41.8999439)
255462617,41.8874247,12.5058233,3,,POINT (12.5058233 41.8874247)
255462618,41.8884394,12.5065991,3,,POINT (12.5065991 41.8884394)
255462620,41.8881778,12.5053948,3,,POINT (12.5053948 41.8881778)
255462621,41.8880473,12.5041501,3,,POINT (12.5041501 41.8880473)
255462622,41.8884039,12.5052715,3,,POINT (12.5052715 41.8884039)
255463422,41.8904914,12.506642,4,,POINT (12.506642 41.8904914)
255463423,41.8902116,12.5057504,3,,POINT (12.5057504 41.8902116)
255463424,41.8894574,12.5033626,4,,POINT (12.5033626 41.8894574)
255463427,41.8897998,12.5044615,3,,POINT (12.5044615 41.8897998)
255463697,41.8859264,12.4952905,3,,POINT (12.4952905 41.8859264)
255466055,41.889843,12.4983927,4,,POINT (12.4983927 41.889843)
255466362,41.8891235,12.4936897,3,,POINT (12.4936897 41.8891235)
255466368,41.8907999,12.4942195,3,,POINT (12.4942195 41.8907999)
255680472,41.9062178,12.4941134,4,,POINT (12.4941134 41.9062178)
255680482,41.9066782,12.4929555,4,,POINT (12.4929555 41.9066782)
255680492,41.9076898,12.4957291,4,,POINT (12.4957291 41.9076898)
255680493,41.9078871,12.4963001,3,,POINT (12.4963001 41.9078871)
255680494,41.9077173,12.4970846,3,,POINT (12.4970846 41.9077173)
255680495,41.9069798,12.4979838,3,,POINT (12.4979838 41.9069798)
255680498,41.9086517,12.4945696,4,,POINT (12.4945696 41.9086517)
255680500,41.9064742,12.4972491,3,,POINT (12.4972491 41.9064742)
255680502,41.9073793,12.4947656,3,,POINT (12.4947656 41.9073793)
255680506,41.9059684,12.4965103,3,,POINT (12.4965103 41.9059684)
255680546,41.9106491,12.496173,3,,POINT (12.496173 41.9106491)
255680548,41.9076201,12.4979211,3,,POINT (12.4979211 41.9076201)
255680559,41.9101546,12.4940877,4,,POINT (12.4940877 41.9101546)
255680560,41.9094296,12.4943201,4,,POINT (12.4943201 41.9094296)
255680561,41.9107166,12.4950666,3,,POINT (12.4950666 41.9107166)
255680565,41.9097152,12.4954231,4,,POINT (12.4954231 41.9097152)
255680566,41.9089669,12.4957203,3,,POINT (12.4957203 41.9089669)
255680716,41.9058414,12.495361,3,,POINT (12.495361 41.9058414)
255680735,41.9063302,12.4960596,4,,POINT (12.4960596 41.9063302)
255680736,41.9068401,12.4967912,4,,POINT (12.4967912 41.9068401)
255680737,41.9073503,12.4975227,4,,POINT (12.4975227 41.9073503)
255680738,41.9081412,12.4986901,3,,POINT (12.4986901 41.9081412)
256170150,41.8905977,12.4995124,3,,POINT (12.4995124 41.8905977)
256170296,41.8925343,12.5090964,3,,POINT (12.5090964 41.8925343)
256170297,41.8914454,12.5110541,3,,POINT (12.5110541 41.8914454)
256170298,41.8907308,12.5126413,3,,POINT (12.5126413 41.8907308)
256170299,41.8910449,12.5106634,3,,POINT (12.5106634 41.8910449)
256170309,41.8886036,12.5147773,3,,POINT (12.5147773 41.8886036)
256170350,41.8889372,12.5074712,3,,POINT (12.5074712 41.8889372)
256170959,41.8878411,12.5091036,1,,POINT (12.5091036 41.8878411)
256170960,41.8874233,12.5082384,3,,POINT (12.5082384 41.8874233)
