osmid,y,x,street_count,highway,ref,geometry
2321857962,41.8799755,12.4668845,3,,,POINT (12.4668845 41.8799755)
2322074535,41.8796817,12.4962907,4,,,POINT (12.4962907 41.8796817)
2322149506,41.8983196,12.5090729,4,,,POINT (12.5090729 41.8983196)
2322509067,41.8957279,12.4291875,4,,,POINT (12.4291875 41.8957279)
2327059428,41.8681438,12.4729482,3,crossing,,POINT (12.4729482 41.8681438)
2327138220,41.9119298,12.5470982,1,,,POINT (12.5470982 41.9119298)
2327227995,41.9182631,12.5446566,3,,,POINT (12.5446566 41.9182631)
2327227997,41.9194886,12.5440011,1,,,POINT (12.5440011 41.9194886)
2327910702,41.9130141,12.5501511,1,,,POINT (12.5501511 41.9130141)
2327963701,41.911968,12.5470093,1,,,POINT (12.5470093 41.911968)
2327963703,41.912048,12.5473909,3,,,POINT (12.5473909 41.912048)
2328077500,41.9020984,12.4715989,3,,,POINT (12.4715989 41.9020984)
2328181474,41.890156,12.4297094,2,,,POINT (12.4297094 41.890156)
2329090383,41.9092289,12.5353428,3,,,POINT (12.5353428 41.9092289)
2329090384,41.9092328,12.5347454,3,,,POINT (12.5347454 41.9092328)
2330145183,41.8824375,12.5027268,1,,,POINT (12.5027268 41.8824375)
2330145187,41.8825598,12.50126,3,,,POINT (12.50126 41.8825598)
2333151112,41.9223013,12.555005,3,,,POINT (12.555005 41.9223013)
2333151115,41.9233141,12.553212,2,,,POINT (12.553212 41.9233141)
2333466121,41.8972035,12.4417098,3,,,POINT (12.4417098 41.8972035)
2333974922,41.9487531,12.4706842,3,,,POINT (12.4706842 41.9487531)
2334410041,41.7657467,12.4691607,1,,,POINT (12.4691607 41.7657467)
2334518570,41.8734899,12.501523,3,,,POINT (12.501523 41.8734899)
2335201884,41.862366,12.4379539,3,,,POINT (12.4379539 41.862366)
2336978218,41.9309364,12.3952739,2,,,POINT (12.3952739 41.9309364)
2336978228,41.931098,12.395177,2,,,POINT (12.395177 41.931098)
2336978230,41.931194,12.3956105,3,,,POINT (12.3956105 41.931194)
2338108075,41.8679716,12.517731,1,,,POINT (12.517731 41.8679716)
2338108076,41.8683679,12.5175291,3,,,POINT (12.5175291 41.8683679)
2338122238,41.8709348,12.5274507,3,,,POINT (12.5274507 41.8709348)
2338122239,41.8710701,12.5276541,3,,,POINT (12.5276541 41.8710701)
2338148919,41.8305525,12.627479,1,,,POINT (12.627479 41.8305525)
2338400986,41.8770166,12.4640699,1,,,POINT (12.4640699 41.8770166)
2339060378,41.9435347,12.5266643,1,,,POINT (12.5266643 41.9435347)
2339060386,41.9445358,12.5275126,3,,,POINT (12.5275126 41.9445358)
2339060392,41.9507833,12.5143154,3,,,POINT (12.5143154 41.9507833)
2339078922,41.9557985,12.5234642,3,,,POINT (12.5234642 41.9557985)
2339078925,41.9558374,12.5232144,3,,,POINT (12.5232144 41.9558374)
2339078928,41.9565367,12.5236647,3,,,POINT (12.5236647 41.9565367)
2339078936,41.9565734,12.5234167,3,,,POINT (12.5234167 41.9565734)
2339078941,41.9574169,12.5239124,3,,,POINT (12.5239124 41.9574169)
2339078944,41.9574533,12.5236568,3,,,POINT (12.5236568 41.9574533)
2339279495,41.9338317,12.6099768,2,,,POINT (12.6099768 41.9338317)
2341272293,41.9389451,12.5269411,3,,,POINT (12.5269411 41.9389451)
2341329146,41.9270102,12.4026366,1,,,POINT (12.4026366 41.9270102)
2342843022,41.9643529,12.5240984,3,,,POINT (12.5240984 41.9643529)
2344222680,41.8720966,12.4907459,4,,,POINT (12.4907459 41.8720966)
2344222681,41.8726706,12.4673968,4,,,POINT (12.4673968 41.8726706)
2344222699,41.8855045,12.4842544,3,,,POINT (12.4842544 41.8855045)
2344222946,41.9291333,12.609857,1,,,POINT (12.609857 41.9291333)
2344222947,41.9290189,12.6096493,1,,,POINT (12.6096493 41.9290189)
2344222949,41.9297084,12.6096315,3,,,POINT (12.6096315 41.9297084)
2344445217,41.9392248,12.5780055,2,,,POINT (12.5780055 41.9392248)
2344473890,41.9181363,12.6625034,3,,,POINT (12.6625034 41.9181363)
2345306255,41.9114274,12.5450556,3,,,POINT (12.5450556 41.9114274)
2345306256,41.9116639,12.5457002,1,,,POINT (12.5457002 41.9116639)
2345937040,41.9309781,12.561267,4,,,POINT (12.561267 41.9309781)
2346723419,41.7815576,12.3556181,3,,,POINT (12.3556181 41.7815576)
2346723437,41.7899819,12.3482852,3,,,POINT (12.3482852 41.7899819)
2346723438,41.7900374,12.3481877,3,,,POINT (12.3481877 41.7900374)
2346730305,41.9153018,12.4040205,3,,,POINT (12.4040205 41.9153018)
2346730307,41.9155859,12.4037306,1,,,POINT (12.4037306 41.9155859)
2346756810,41.8559498,12.5869234,1,,,POINT (12.5869234 41.8559498)
2348526677,41.9273837,12.5993321,1,,,POINT (12.5993321 41.9273837)
2348526687,41.9275214,12.6294881,3,,,POINT (12.6294881 41.9275214)
2348526689,41.9275463,12.6291845,3,,,POINT (12.6291845 41.9275463)
2348526694,41.9281945,12.5990313,3,,,POINT (12.5990313 41.9281945)
2348526705,41.9282962,12.5991285,3,,,POINT (12.5991285 41.9282962)
2348526711,41.9283122,12.5989764,3,,,POINT (12.5989764 41.9283122)
2348526723,41.9283821,12.5996125,3,,,POINT (12.5996125 41.9283821)
2348526732,41.9286029,12.5977515,1,,,POINT (12.5977515 41.9286029)
2348528540,41.9359441,12.6234688,3,,,POINT (12.6234688 41.9359441)
2350915585,41.9590997,12.3989871,3,,,POINT (12.3989871 41.9590997)
2350915596,41.9598001,12.4006771,3,,,POINT (12.4006771 41.9598001)
2350915600,41.9599247,12.4006565,3,,,POINT (12.4006565 41.9599247)
2350915605,41.9601062,12.4016049,3,,,POINT (12.4016049 41.9601062)
2350977580,41.9537231,12.3972688,1,,,POINT (12.3972688 41.9537231)
2350977582,41.9540917,12.3968887,3,,,POINT (12.3968887 41.9540917)
2351696639,41.9667631,12.5523905,3,,,POINT (12.5523905 41.9667631)
2351696748,41.9699814,12.5519257,1,,,POINT (12.5519257 41.9699814)
2352764996,41.9168879,12.440432,3,,,POINT (12.440432 41.9168879)
2352764999,41.9170163,12.4405146,3,,,POINT (12.4405146 41.9170163)
2353245286,41.831296,12.5118494,3,,,POINT (12.5118494 41.831296)
2353245289,41.8313403,12.5119055,3,,,POINT (12.5119055 41.8313403)
2353245299,41.8321794,12.5054569,3,,,POINT (12.5054569 41.8321794)
2353245304,41.8322822,12.5054458,3,,,POINT (12.5054458 41.8322822)
2353245308,41.8323568,12.5106347,3,,,POINT (12.5106347 41.8323568)
2353245350,41.8337456,12.5062518,3,,,POINT (12.5062518 41.8337456)
2353245352,41.8337619,12.5061469,3,,,POINT (12.5061469 41.8337619)
2353245459,41.8377826,12.5129256,3,,,POINT (12.5129256 41.8377826)
2353245463,41.8378314,12.5127539,3,,,POINT (12.5127539 41.8378314)
2353245465,41.8378349,12.5129572,3,,,POINT (12.5129572 41.8378349)
2353245475,41.8378842,12.5127857,3,,,POINT (12.5127857 41.8378842)
2353275960,41.8334041,12.4938922,3,,,POINT (12.4938922 41.8334041)
2353275970,41.8336807,12.4939867,3,,,POINT (12.4939867 41.8336807)
2353275972,41.8337857,12.4937013,1,,,POINT (12.4937013 41.8337857)
2353275983,41.8359618,12.5064405,3,,,POINT (12.5064405 41.8359618)
2353286450,41.834067,12.5063437,3,,,POINT (12.5063437 41.834067)
2353286454,41.8340849,12.506225,3,,,POINT (12.506225 41.8340849)
2353286460,41.8345599,12.5038203,3,,,POINT (12.5038203 41.8345599)
2353286465,41.8346318,12.50382,3,,,POINT (12.50382 41.8346318)
2353286477,41.8348374,12.5029375,3,,,POINT (12.5029375 41.8348374)
2357224264,41.6955475,12.5235755,3,,,POINT (12.5235755 41.6955475)
