osmid,y,x,node_id
1511324892,37.7661036,-122.4600199,8096
1511339709,37.7660581,-122.4578239,8097
1511339712,37.7659953,-122.4578193,8098
1511339716,37.7657398,-122.4578007,8099
1511339732,37.7658562,-122.4569822,8100
1511342574,37.7649421,-122.4567715,8101
1511349540,37.7627909,-122.4563373,8102
1511349597,37.7625814,-122.4572682,8103
1555295536,37.7465514,-122.4662325,8104
1555295542,37.7465435,-122.467132,8105
1555295550,37.7468663,-122.4645833,8106
1563110109,37.7630646,-122.3888392,8107
1563110114,37.7630773,-122.3886764,8108
1563110126,37.7669299,-122.3889817,8109
1563110130,37.7669142,-122.3892331,8110
1563110139,37.7643643,-122.3887631,8111
1563110148,37.764349,-122.3889802,8112
1563129310,37.7694015,-122.4291486,8113
1564279875,37.7903451,-122.4222376,8114
1564279877,37.7903966,-122.4224704,8115
1578907668,37.7864339,-122.4080561,8116
1580501206,37.7860145,-122.4113476,8117
1580501212,37.787221,-122.3988207,8118
1580501214,37.7868355,-122.4048551,8119
1580501216,37.7858081,-122.4129919,8120
1580517057,37.7999166,-122.420896,8121
1580829441,37.7419559,-122.4100612,8122
1593395185,37.8004684,-122.4043285,8123
1594227876,37.8032125,-122.421598,8124
1594252941,37.804156,-122.4067052,8125
1594252943,37.8040504,-122.4066892,8126
1606208575,37.7270106,-122.4754413,8127
1606434388,37.7303374,-122.4719813,8128
1606434399,37.7298683,-122.4720079,8129
1607089606,37.7216867,-122.463587,8130
1607089611,37.7216561,-122.4689877,8131
1607089623,37.7216811,-122.464488,8132
1607089625,37.7179112,-122.466247,8133
1607089626,37.7216512,-122.4707848,8134
1607089628,37.712523,-122.462589,8135
1607089632,37.7155891,-122.4626201,8136
1607089647,37.7216537,-122.4698849,8137
1607089648,37.7161146,-122.467122,8138
1607089652,37.7216586,-122.468083,8139
1607089656,37.7179036,-122.4671476,8140
1607089658,37.7216698,-122.4662854,8141
1614176407,37.7452069,-122.4513232,8142
1614176443,37.7451244,-122.4512926,8143
1614176501,37.7347756,-122.4393453,8144
1614214572,37.7466512,-122.4437593,8145
1614214580,37.74693,-122.4449565,8146
1614214605,37.7465152,-122.4434165,8147
1614214651,37.7392619,-122.4363846,8148
1614214652,37.7468531,-122.4422203,8149
1614214671,37.7469274,-122.4422605,8150
1614214693,37.7466308,-122.4447109,8151
1636827301,37.7397233,-122.4095133,8152
1636827304,37.7483314,-122.4126087,8153
